# PURPOSE: This file distributes the geomagnetic planetary three-hour index Kp and associated geomagnetic indices as well as relevant solar indices.
# LICENSE: CC BY 4.0, except for the sunspot numbers contained in this file, which have the CC BY-NC 4.0 license
# SOURCE: Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences
# PLEASE CITE: Matzka, J., Stolle, C., Yamazaki, Y., Bronkalla, O. and Morschhauser, A., 2021. The geomagnetic Kp index 
# and derived indices of geomagnetic activity. Space Weather, https://doi.org/10.1029/2020SW002641
#
# Kp, ap and Ap
# The three-hourly equivalent planetary amplitude ap is derived from Kp and the daily equivalent planetary amplitude Ap is the daily mean of ap.
# Kp is unitless. Ap and ap are unitless and can be multiplied by 2 nT to yield the average geomagnetic disturbance at 50 degree geomagnetic latitude.
# Kp, ap and Ap were introduced by Bartels (1949, 1957) and are produced by Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences.
# Described in: Matzka et al. (2021), see reference above.
# Data publication: Matzka, J., Bronkalla, O., Tornow, K., Elger, K. and Stolle, C., 2021. Geomagnetic Kp index. V. 1.0. GFZ Data Services, 
# https://doi.org/10.5880/Kp.0001
# Note: the most recent values are nowcast values and will be replaced by definitive values as soon as they become available.
# 
# International Sunspot Number SN
# The international sunspot number SN (written with subscript N) is given as the daily total sunspot number version 2.0 introduced in 2015.
# The sunspot data is available under the licence CC BY-NC 4.0 from WDC-SILSO, Royal Observatory of Belgium, Brussels. Described in:
# Clette, F., Lefevre, L., 2016. The New Sunspot Number: assembling all corrections. Solar Physics, 291, https://doi.org/10.1007/s11207-016-1014-y 
# Note: the most recent values are preliminary and replaced by definitive values as soon as they become available.
#
# F10.7 Solar Radio Flux
# Local noon-time observed (F10.7obs) and adjusted (F10.7adj) solar radio flux F10.7 in s.f.u. (10^-22 W m^-2 Hz^-1) is provided by 
# Dominion Radio Astrophysical Observatory and Natural Resources Canada.
# Described in: Tapping, K.F., 2013. The 10.7 cm solar radio flux (F10.7). Space Weather, 11, 394-406, https://doi.org/10.1002/swe.20064 
# Note: For ionospheric and atmospheric studies the use of F10.7obs is recommended.
# 
# Short file description (for a detailed file description, see Kp_ap_Ap_SN_F107_format.txt):
# 40 header lines, all starting with #
# ASCII, blank separated and fixed length, missing data indicated by -1.000 for Kp, -1 for ap and SN, -1.0 for F10.7
# YYYY MM DD is date of UT day, days is days since 1932-01-01 00:00 UT to start of UT day, days_m is days since 1932-01-01 00:00 UT to midday of UT day
# BSR is Bartels solar rotation number, dB is day within BSR 
# Kp1 to Kp8 (Kp for the eight eighth of the UT day), ap1 to ap8 (ap for the eight eighth of the UT day), Ap, SN, F10.7obs, F10.7adj
# D indicates if the Kp and SN values are definitive or preliminary. D=0: Kp and SN preliminary; D=1: Kp definitive, SN preliminary; D=2 Kp and SN definitive
#
#
# The format for each line is (i stands for integer, f for float):
#iii ii ii iiiii fffff.f iiii ii ff.fff ff.fff ff.fff ff.fff ff.fff ff.fff ff.fff ff.fff iiii iiii iiii iiii iiii iiii iiii iiii  iiii iii ffffff.f ffffff.f i
# The parameters in each line are:
#YYY MM DD  days  days_m  Bsr dB    Kp1    Kp2    Kp3    Kp4    Kp5    Kp6    Kp7    Kp8  ap1  ap2  ap3  ap4  ap5  ap6  ap7  ap8    Ap  SN F10.7obs F10.7adj D
2021 01 01 32508 32508.5 2556 10  0.000  0.333  0.667  0.333  0.333  1.333  0.667  0.667    0    2    3    2    2    5    3    3     2  24     80.4     77.7 2
2021 01 02 32509 32509.5 2556 11  0.333  0.000  0.000  0.333  0.000  0.000  0.000  0.000    2    0    0    2    0    0    0    0     0  17     81.5     78.8 2
2021 01 03 32510 32510.5 2556 12  0.000  0.000  0.000  0.000  0.333  0.333  0.000  0.333    0    0    0    0    2    2    0    2     1   0     80.4     77.8 2
2021 01 04 32511 32511.5 2556 13  0.333  0.000  0.333  0.667  0.333  0.333  0.333  0.333    2    0    2    3    2    2    2    2     2   0     77.6     75.0 2
2021 01 05 32512 32512.5 2556 14  1.667  0.667  1.000  0.667  4.000  2.667  1.333  3.667    6    3    4    3   27   12    5   22    10   0     75.1     72.6 2
2021 01 06 32513 32513.5 2556 15  3.000  3.000  3.667  2.333  1.667  1.667  1.333  1.333   15   15   22    9    6    6    5    5    10   0     74.1     71.7 2
2021 01 07 32514 32514.5 2556 16  1.333  1.667  1.000  0.667  0.333  0.333  1.333  2.333    5    6    4    3    2    2    5    9     4   0     74.6     72.2 2
2021 01 08 32515 32515.5 2556 17  0.333  0.333  0.333  0.333  0.333  0.000  0.000  0.333    2    2    2    2    2    0    0    2     2   0     75.2     72.8 2
2021 01 09 32516 32516.5 2556 18  0.667  1.333  0.333  0.333  0.000  0.000  0.000  0.000    3    5    2    2    0    0    0    0     2   0     74.2     71.8 2
2021 01 10 32517 32517.5 2556 19  0.667  0.333  0.667  0.333  0.000  0.667  1.000  1.000    3    2    3    2    0    3    4    4     3   0     73.1     70.7 2
2021 01 11 32518 32518.5 2556 20  1.000  0.000  0.333  2.333  3.333  3.667  3.333  4.000    4    0    2    9   18   22   18   27    12   0     73.2     70.8 2
2021 01 12 32519 32519.5 2556 21  3.667  3.000  2.333  2.000  1.333  1.000  1.000  0.667   22   15    9    7    5    4    4    3     9   0     72.8     70.4 2
2021 01 13 32520 32520.5 2556 22  0.667  0.333  0.333  1.000  1.333  0.667  0.667  1.000    3    2    2    4    5    3    3    4     3   0     73.2     70.8 2
2021 01 14 32521 32521.5 2556 23  0.000  0.000  0.000  0.333  0.333  0.333  0.000  0.333    0    0    0    2    2    2    0    2     1   3     73.6     71.2 2
2021 01 15 32522 32522.5 2556 24  1.667  0.000  0.000  0.000  0.000  1.000  1.000  0.333    6    0    0    0    0    4    4    2     2  14     73.4     71.0 2
2021 01 16 32523 32523.5 2556 25  0.333  1.000  0.667  0.667  0.667  0.667  0.667  1.000    2    4    3    3    3    3    3    4     3  12     77.7     75.2 2
2021 01 17 32524 32524.5 2556 26  0.333  1.333  0.000  0.000  0.333  0.000  0.000  0.333    2    5    0    0    2    0    0    2     1  14     77.2     74.8 2
2021 01 18 32525 32525.5 2556 27  0.667  1.667  0.000  0.000  0.333  0.000  1.333  2.000    3    6    0    0    2    0    5    7     3  12     75.3     72.9 2
2021 01 19 32526 32526.5 2557  1  2.667  2.000  0.667  1.000  1.333  0.667  1.333  0.667   12    7    3    4    5    3    5    3     5  20     78.1     75.6 2
2021 01 20 32527 32527.5 2557  2  0.667  0.667  2.000  1.667  2.333  2.000  1.000  0.333    3    3    7    6    9    7    4    2     5  21     77.2     74.7 2
